Unnamed: 0,N,P,K,temperature,humidity,ph,rainfall,label
42,83,60,38,25.59704938,80.14509262,6.903985986,200.834898,rice
685,32,47,18,27.38538997,88.66663953,6.702772465,58.29933073,mungbean
135,88,51,24,21.77689322,57.80840636,6.158830619,102.0861694,maize
1096,92,81,45,28.0106804,76.52808057,5.891413895,103.7040783,banana
44,85,40,38,26.31355498,82.36698992,7.224285503,265.5355937,rice
1892,3,5,35,26.91641934,99.84671638,6.318552973,225.6323656,coconut
68,64,46,42,26.31355498,82.36698992,7.224285503,265.5355937,rice
1008,108,82,48,26.28845991,83.390039,5.891458107,113.8729798,banana
174,87,60,22,20.27317074,63.91281869,6.439071996,62.50351892,maize
165,68,60,25,25.34217103,63.31801994,6.330554389,74.52082026,maize
2078,71,56,38,23.18866654,86.20899734,6.491506245,176.103677,jute
632,42,52,23,28.28511547,88.4393979,7.130278657,48.56690235,mungbean
1108,11,33,26,35.99009679,52.22780489,5.978634285,95.3713484,mango
2037,89,52,40,23.09433785,81.45139295,6.14132902,196.6587013,jute
451,42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,chickpea
639,14,53,16,29.8757015,83.14796296,6.623438282,40.12044158,mungbean
149,63,43,18,19.28889933,65.47050802,6.807487794,71.3195307,maize
1129,34,32,34,30.07202564,50.96040505,6.10729559,92.09609766,mango
1050,107,72,46,28.14938935,81.54448882,5.790768046,91.40508414,banana
1145,34,34,33,27.27433181,47.16808054,6.422710539,95.257992,mango
735,44,56,18,31.74105409,68.63525428,7.241148507,62.3061735,blackgram
717,50,79,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram
643,2,36,21,29.86860065,85.99127934,6.401455706,58.41394143,mungbean
1879,26,5,30,25.94903647,94.73860514,6.828982708,76.34144589,coconut
1114,4,26,26,27.53907547,53.63549533,6.797779227,47.35408185,mango
895,26,63,22,23.05276444,60.424786,7.016359891,52.60285259,lentil
1896,28,30,29,28.94099669,93.00109012,5.764615485,191.7723087,coconut
1129,9,18,27,30.07202564,50.96040505,6.10729559,92.09609766,mango
1624,33,5,13,21.03200078,92.9641969,7.684420446,110.6823944,orange
1142,28,27,30,33.4123707,50.5255914,6.61448588,77.03421249,mango
1526,13,132,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
188,78,38,19,25.00933355,67.816568,6.528631266,62.91359494,maize
1112,11,28,27,27.53907547,53.63549533,6.797779227,99.35408185,mango
1172,9,29,34,27.92063282,51.77965917,6.47544932,100.2585673,mango
888,10,73,15,24.84918386,68.98088448,7.272427638,41.61080544,lentil
159,63,43,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
481,29,55,25,23.17409556,36.67847052,6.962386495,162.5931264,pigeonpeas
1127,8,35,33,29.98080499,49.48613279,6.442393461,91.82271568,mango
1178,28,30,30,32.45465292,50.69693751,6.526654345,95.04871605,mango
170,70,57,24,25.2801372,83.15393658,6.224066378,49.29456609,maize
858,26,68,22,28.04849594,64.07691942,7.504930973,37.15824966,lentil
1140,2,38,34,32.38697531,53.2328243,4.691396195,90.21633216,mango
1006,90,50,51,14.97846952,80.49979873,6.294395676,71.63437433,rice
1070,108,84,55,25.16278237,84.97849241,6.110844721,90.94554618,banana
133,64,60,22,23.02038334,61.89472002,5.680361038,63.03843397,maize
1833,6,18,33,28.27804288,93.64761266,6.095261013,171.9457959,coconut
877,30,71,18,27.14911056,67.02664337,6.157782589,52.50812701,lentil
1363,107,7,45,25.83202912,89.00481725,6.755192025,45.24690619,muskmelon
1192,8,37,32,22.31871914,54.96129998,7.288377241,65.35747011,mango
1137,38,15,33,28.91862016,48.13974548,5.075504537,97.01331604,mango
818,23,62,22,29.03017561,64.49166566,7.475926645,54.9393771,lentil
189,94,37,18,24.40228894,63.7373271,7.231324765,90.8022356,maize
1164,28,36,32,33.33024826,45.61143594,6.953246506,98.28583013,mango
1125,12,26,26,31.09779147,47.41196659,4.546466109,90.28624348,mango
173,62,50,19,23.8911457,77.48775781,6.194090172,71.691431,maize
799,38,75,25,32.7477393,67.77954584,7.453975408,63.37784443,blackgram
194,71,60,25,26.07470121,59.37147589,6.2048017,85.75692395,maize
1673,5,10,10,11.03367937,92.22706805,6.562594972,112.7715925,orange
132,84,50,20,22.53510514,67.99257471,6.489040367,64.40866039,maize
2099,84,45,38,26.57421679,73.81994896,7.26158085,159.3223075,jute
980,7,24,43,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate
1148,38,19,30,33.7462686,48.50387598,6.777788126,92.26439205,mango
1070,108,74,46,25.16278237,84.97849241,6.110844721,90.94554618,banana
564,22,45,19,27.58139475,50.77148138,8.18422855,64.58559639,mothbeans
1564,15,143,197,23.87192332,90.49939035,5.882155988,103.0548094,apple
1170,18,20,32,29.09382275,45.5661059,5.32307197,96.23520043,mango
1164,39,37,29,33.33024826,45.61143594,6.953246506,98.28583013,mango
274,57,68,83,17.09104223,18.25142068,7.785039076,87.27444866,chickpea
1555,2,136,196,22.69780133,92.82223419,5.53456749,105.0508234,apple
902,8,26,38,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate
878,0,76,20,23.33375853,64.50515776,7.240988401,47.01510708,lentil
58,71,53,38,25.78720567,82.11124033,6.946636369,243.5120414,rice
1135,1,29,34,28.33333307,41.39586505,6.434197756,91.67241761,mango
1623,4,29,6,22.67594476,93.36388717,7.477935216,110.3332655,orange
167,69,51,22,24.86374934,65.7420046,5.714799723,75.82270467,maize
1535,23,138,200,22.49095104,91.70292746,5.795985716,124.3915101,apple
673,14,53,15,23.52648086,68.44030686,6.743417121,171.8839938,mungbean
1908,121,60,17,23.60564038,79.29573149,7.723240151,72.49800885,cotton
1304,93,23,47,26.58740671,81.32563243,6.855362875,183.4065252,muskmelon
1186,31,23,32,32.17752026,54.01352682,6.207495815,91.88766069,mango
319,23,43,23,19.12829388,15.92241479,6.289614016,89.61857826,mothbeans
2039,90,52,36,24.06475727,71.31342851,6.509174789,153.6390212,jute
1734,34,71,54,28.12971499,93.3210737,6.502675132,117.8201907,papaya
724,20,60,20,27.3254209,69.09047809,6.726469088,61.19250859,blackgram
1178,28,30,31,34.89226666,48.75613373,6.414526606,91.63074547,coconut
2015,60,46,44,25.21622704,70.88259632,7.299304715,195.8645552,jute
1184,40,27,30,34.13072188,51.25786185,5.101206389,96.38808001,mango
1321,97,7,48,24.9103226,86.97190046,6.237861736,49.48575692,watermelon
1241,13,16,33,27.82054812,93.03555162,6.528404378,26.32405487,coconut
1593,12,132,197,23.35225078,90.90054697,6.071255131,113.0381382,grapes
1882,31,13,33,29.69552329,95.21224392,6.342463714,148.3003692,coconut
1992,114,47,18,24.32630461,80.13456404,6.363406102,69.45072055,cotton
1419,87,14,52,29.69238699,92.58862544,6.606033244,29.1102594,muskmelon
752,38,58,15,27.54384835,69.3478631,7.143942758,69.40878198,blackgram
1165,19,42,34,27.78912455,53.96886679,5.643710216,91.01152997,mango
1431,120,23,49,28.91105641,90.78413842,6.425930938,23.44398467,muskmelon
2015,70,48,45,24.39736241,79.26861738,7.014063944,164.2697011,jute
268,56,79,78,20.1187446,14.44228303,6.81712422,88.68168643,chickpea
1046,106,70,48,25.86824781,78.52399914,5.74055541,116.3019555,banana
1276,37,138,195,40.66012294,81.24995984,6.372959542,74.03030056,grapes
1192,8,37,30,28.07802689,54.9640534,6.128167757,97.45373619,mango
890,37,55,25,25.93381964,68.70533022,7.080506001,51.02372773,lentil
189,92,60,22,18.66746724,71.516474,5.721667141,69.93293255,maize
1582,5,138,197,23.75033085,92.88160462,5.570020684,117.6602827,apple
1819,31,9,32,29.12859129,91.30924833,5.741367375,157.2388553,coconut
207,30,70,79,17.3348681,18.74926979,7.550808267,82.61734721,chickpea
1916,121,50,19,23.47986888,81.73049149,6.720449769,86.76287924,cotton
153,99,50,19,18.41932981,64.23580251,6.474476516,76.41312437,maize
1285,7,137,200,25.96308415,82.57813624,5.838748311,70.31782647,grapes
1331,114,12,51,29.20300896,83.96834049,6.839443833,209.4083305,banana
873,33,75,15,23.19305333,62.74710773,7.641024177,49.55213308,lentil
1773,56,57,49,33.08706051,92.25197542,6.770384816,88.1300769,papaya
1369,112,19,55,25.41864024,81.12122989,6.286387658,49.52320689,muskmelon
1471,110,23,54,27.84492803,91.60666594,6.732049075,26.47844429,watermelon
21,90,56,44,25.15745531,83.11713476,5.070175667,231.3843163,rice
1177,33,19,31,31.89356292,49.02450149,6.4841522,89.59371481,mango
1124,12,19,31,33.80398664,46.12866113,4.507523551,90.82549241,mango
951,29,21,44,23.40981539,93.13277,6.749260456,105.2240743,pomegranate
1130,37,15,31,31.53356352,53.06009323,5.821106036,98.57025046,mango
1102,21,20,26,27.00315545,47.67525434,5.699586972,95.85118326,mango
534,36,67,15,28.61409059,57.14218792,8.292875734,57.02891698,kidneybeans
1511,30,121,197,25.54963273,94.3212295,6.156259104,191.2996157,apple
1801,29,25,6,30.25578031,92.03272799,6.052318465,116.7173125,orange
1331,93,21,45,24.54356968,84.60808277,6.211748957,42.00660251,muskmelon
1542,21,129,200,23.86087054,94.92048112,5.765015126,105.0241329,apple
177,61,60,21,18.04185513,60.61494304,5.513697923,104.2321615,maize
1330,118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,muskmelon
836,19,60,19,28.83600962,69.76112921,6.890760124,44.08562546,lentil
396,30,63,18,23.60506572,21.90539577,5.525904526,100.5978728,kidneybeans
940,6,16,43,25.87990287,67.55109024,6.609696734,47.8965161,pomegranate
1361,101,15,47,24.37118217,87.1269128,6.451499764,44.63907691,watermelon
764,52,58,15,30.64095781,91.14508627,7.167435834,71.36947525,kidneybeans
1322,120,17,52,25.79448878,84.26830701,6.762471629,56.45229202,watermelon
43,51,75,21,18.04185513,60.61494304,5.513697923,104.2321615,blackgram
1958,119,48,19,22.94276687,75.37170612,6.114525877,67.08022574,cotton
1486,85,21,47,29.87331077,90.60932469,6.186770318,24.69720481,watermelon
1508,22,140,195,21.91191314,91.68748063,6.499226821,117.0761277,apple
45,91,45,42,24.8972823,80.52586088,6.13428721,183.6793207,rice
1086,100,74,45,25.43480512,81.53977797,5.837258235,96.47800391,banana
226,36,69,82,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
135,84,57,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
1129,30,37,26,30.07202564,50.96040505,6.10729559,92.09609766,mango
1007,108,89,48,29.55054817,78.06762846,5.808497604,99.34482238,banana
1282,1,130,196,16.27852801,82.94270065,5.620745638,66.57462809,grapes
122,88,52,19,18.28362235,66.65952796,6.829199275,80.97573281,maize
1562,7,134,196,22.98208095,93.84505029,5.971332179,109.5852253,apple
1829,37,130,198,27.14865285,96.66355213,6.027707171,149.2433497,apple
1935,116,60,20,25.54359718,84.09229796,7.175934962,88.94245493,cotton
2034,65,58,35,23.66805429,70.89000744,6.768001309,184.4633281,jute
1596,29,123,198,22.31944084,90.85174383,5.732757516,100.1173443,grapes
1672,10,48,46,11.86631922,93.68394562,6.976997772,106.060149,papaya
1154,9,38,25,27.3511056,54.43945147,6.441328044,96.27792547,mango
1904,126,57,24,25.36243778,83.63276077,6.176716425,88.43618918,cotton
1370,97,22,47,26.26028739,86.14585891,6.7698938,58.97878791,watermelon
556,19,58,19,25.44689075,58.55363573,6.16496284,57.04826619,mothbeans
1101,29,28,10,33.55695561,53.72979826,4.757114897,98.67527561,orange
1615,5,19,10,26.56608303,94.45239715,6.285312759,116.3796525,orange
161,68,50,19,18.52510753,69.0276233,5.773454729,88.10234397,maize
861,16,65,19,20.06003985,67.76252583,6.677262562,42.89509057,lentil
927,28,6,42,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
932,31,23,38,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate
1290,36,131,198,13.05809741,80.28297993,5.757009965,70.75633584,grapes
946,37,29,42,19.66329768,87.95158129,5.561851831,106.0380805,pomegranate
1192,8,36,32,28.07802689,54.9640534,6.128167757,97.45373619,mango
1930,118,60,23,23.37044424,77.43198948,7.977651226,71.67870701,cotton
454,5,56,22,24.80710166,45.01110015,5.023115055,188.4928637,pigeonpeas
281,47,66,85,17.48395377,14.76014523,6.609696734,65.11365631,chickpea
857,16,74,16,26.03026959,69.55863145,7.393210848,37.11395801,lentil
372,11,21,51,18.62328774,23.02410338,5.532100554,135.3378033,watermelon
809,6,69,19,28.75273118,69.15640149,6.637677489,35.1542617,lentil
1634,16,7,9,22.79196751,90.60901895,6.420457311,116.5084074,orange
884,36,60,18,25.71269843,64.1123333,7.692013657,50.17067771,lentil
1475,107,22,50,27.99611732,90.84660317,6.630301421,21.61893763,watermelon
302,21,67,23,22.91350245,21.33953114,5.873171894,109.225556,kidneybeans
1512,27,38,31,27.63551259,99.34854917,6.38488418,157.9171537,mango
1566,19,123,197,22.61711615,93.51978375,5.90402645,116.9256766,apple
321,19,65,24,18.09551014,18.29318436,5.625096446,144.7902323,kidneybeans
218,20,73,81,20.2811351,16.39535215,6.915717008,61.75212401,chickpea
365,34,59,15,18.81097271,21.27833035,5.889614577,125.084915,kidneybeans
1015,83,79,54,25.14748006,83.34688193,5.565028635,98.66679427,banana
603,8,56,17,28.17432665,81.04554836,6.828187499,36.35720652,mungbean
1033,102,71,54,28.65456263,79.28693687,5.695267822,102.4633775,banana
998,39,28,10,20.24104904,91.08706822,6.887005997,109.2537734,orange
1137,35,18,30,31.99490489,50.84881347,5.279388967,97.38741498,mango
1194,40,20,26,28.70595247,50.44030129,5.445008416,95.8946444,mango
194,71,60,23,26.07470121,59.37147589,6.2048017,85.75692395,maize
1150,29,35,30,32.89300162,52.61323969,4.650536197,94.49161372,mango
1112,12,37,29,27.53907547,53.63549533,6.797779227,99.35408185,mango
1910,107,58,25,23.0865933,83.55546146,7.227745516,71.84080724,cotton
1,74,38,45,21.77046169,80.31964408,7.038096361,226.6555374,rice
1621,0,23,15,19.33516809,91.97978938,6.361671475,116.450422,orange
1011,83,79,55,25.74095321,45.38497051,7.88118645,67.43488235,banana
319,23,66,23,23.0429097,22.42610972,5.833940084,108.3684316,kidneybeans
515,42,67,77,31.12896766,43.58788762,6.455592696,32.76742894,chickpea
1844,28,26,35,29.8690834,91.14723422,6.305740522,192.7678575,coconut
1041,101,87,48,25.36059237,75.03193255,6.012696655,116.5531455,banana
1681,14,8,8,27.255435,91.71479387,6.969883483,101.139435,orange
1894,27,8,26,26.44600063,98.29937782,6.008386283,221.2258168,coconut
151,60,46,23,18.52510753,69.0276233,5.773454729,88.10234397,maize
1137,35,13,26,28.91862016,48.13974548,5.075504537,97.01331604,mango
1135,1,23,28,28.33333307,51.39586505,6.434197756,91.67241761,mango
1681,19,6,7,27.255435,91.71369387,6.969883483,101.139435,orange
1633,15,5,9,10.01081312,90.22399223,6.22094286,119.3941064,orange
60,57,65,23,22.68319059,83.46358271,6.604993475,194.2651719,blackgram
448,5,59,24,27.9348279,66.45457122,4.722222454,145.3728801,pigeonpeas
1131,5,15,26,32.26935342,53.56092806,5.870116071,95.94035356,mango
723,40,63,18,30.48359608,67.66323804,6.804781106,102.5184759,blackgram
806,2,72,17,26.57597546,60.97876599,7.836719564,50.89110726,lentil
1775,44,60,54,38.73218907,94.73613484,6.579441304,218.142147,papaya
1175,31,38,29,33.93679864,52.72170281,6.460542749,97.4611918,mango
528,22,58,15,34.9644946,35.26206161,7.493191968,175.7260273,lentil
1131,39,36,31,28.46743689,49.21729127,6.392048018,171.3764462,mango
1661,14,131,200,12.59093977,91.81668769,6.206053072,119.3916718,apple
186,77,45,22,21.77689322,57.80840636,6.158830619,102.0861694,maize
388,12,67,25,23.82576704,24.75485098,5.624690248,84.64143632,kidneybeans
679,41,71,21,29.40889385,86.16063492,6.365513634,53.35486977,lentil
1059,117,86,52,25.19640218,83.55829874,5.703381728,115.8586081,banana
1594,23,143,197,22.03911546,94.58075845,6.231950009,110.9804014,grapes
1937,111,61,17,23.64328417,78.1258666,6.10539819,80.96157332,cotton
491,4,62,15,19.25100056,47.70351758,5.374358869,149.063196,pigeonpeas
1954,118,40,15,22.95604064,82.33733678,6.36081178,66.48339303,cotton
1772,45,57,48,23.16855863,90.78821158,6.656458831,161.6892093,papaya
253,44,60,78,17.503619,15.48083156,5.824778636,117.6102915,chickpea
330,15,77,24,24.51324787,20.81527638,5.670062975,64.19497947,kidneybeans
330,13,67,23,24.51324787,20.81527638,5.670062975,64.19497947,kidneybeans
89,91,53,42,20.82477109,84.1341879,6.462391607,230.2242223,rice
226,36,75,77,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
1002,108,92,50,27.40053601,82.96221306,6.276800323,104.9378,banana
1947,108,89,48,23.41022496,76.43836957,7.442217061,78.82199603,banana
1892,3,13,32,26.91641934,99.84671638,6.318552973,225.6323656,mango
9,83,37,43,23.48381344,81.33265073,7.375482851,224.0581164,rice
2043,69,51,35,23.25583402,82.7015932,7.124333547,166.2160846,jute
1834,24,6,30,29.18032562,92.73041222,6.025789594,204.9603677,coconut
666,31,44,15,28.88078945,86.94206817,6.594739424,53.79732545,mungbean
1178,28,37,30,32.45465292,50.69693751,6.526654345,95.04871605,mango
441,24,62,19,29.50523036,35.72032498,6.216814453,187.8961851,pigeonpeas
1106,19,38,31,30.01592643,53.19212381,5.074272692,97.72843182,mango
2020,53,78,25,33.36984395,65.67718163,6.874142175,64.89517488,lentil
2112,82,29,29,27.0424167,57.27927475,6.501157208,165.6872119,coffee
122,29,62,52,18.28362235,66.65952796,6.829199275,80.97573281,papaya
666,21,54,16,28.88078945,86.94206817,6.594739424,53.79732545,mungbean
846,2,70,19,21.53577883,65.47227704,7.505283615,35.75107592,lentil
1141,2,31,34,35.38598705,51.42664176,5.254532213,90.29643888,mango
1870,26,16,30,27.45907759,92.90736493,5.836075368,142.1430003,coconut
290,60,71,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea
1188,22,16,31,28.70595247,50.44030129,5.445008416,95.8946444,mango
1122,1,33,33,28.33333307,51.39586505,6.434197756,91.67241761,mango
80,68,44,39,26.08867875,80.37979919,5.706943251,182.9043504,rice
